product_id,listing_price,sale_price,discount,revenue
AH2430,,,,
G27341,75.99,37.99,0.50,1641.17
CM0081,9.99,5.99,0.40,398.93
B44832,69.99,34.99,0.50,2204.37
D98205,79.99,39.99,0.50,5182.70
B75586,47.99,19.20,0.60,1555.20
CG4051,47.99,23.99,0.50,86.36
CM0080,9.99,5.99,0.40,75.47
B75990,55.99,27.99,0.50,806.11
EE5761,65.99,39.59,0.40,2779.22
EE4553,75.99,45.59,0.40,2954.23
EF9315,65.99,39.59,0.40,2494.17
F35281,59.99,29.99,0.50,5236.25
EF9220,75.99,45.59,0.40,5087.84
EG0000,79.99,39.99,0.50,1151.71
B44889,59.99,29.99,0.50,3724.76
CL7417,45.99,22.99,0.50,662.11
CL7408,39.99,19.99,0.50,287.86
B43601,32.99,16.49,0.50,1840.28
EE8245,42.99,21.49,0.50,2591.69
EE8042,55.99,27.99,0.50,1511.46
CL7429,42.99,21.49,0.50,1663.33
CL7370,37.99,22.79,0.40,533.29
EE9946,65.99,32.99,0.50,4809.94
CK9741,37.99,18.99,0.50,2392.74
CL7363,32.99,19.79,0.40,1638.61
CL7372,37.99,22.79,0.40,2584.39
CL7430,42.99,21.49,0.50,3674.79
F34485,55.99,33.59,0.40,906.93
CL7365,32.99,19.79,0.40,1211.15
CL7373,32.99,19.79,0.40,3063.49
CL7364,32.99,19.79,0.40,106.87
CL7374,32.99,19.79,0.40,2386.67
EE8167,55.99,33.59,0.40,302.31
CL7410,39.99,23.99,0.40,3670.47
CL7401,55.99,33.59,0.40,241.85
EE8219,45.99,27.59,0.40,1738.17
CL7402,55.99,33.59,0.40,786.01
EE9929,85.99,51.59,0.40,1857.24
EE8221,65.99,39.59,0.40,2921.74
EE8224,65.99,39.59,0.40,5130.86
EE9941,65.99,39.59,0.40,2280.38
EE8522,75.99,45.59,0.40,6893.21
EE9932,55.99,33.59,0.40,4534.65
EE8375,69.99,41.99,0.40,302.33
EE9798,55.99,33.59,0.40,2902.18
EE8502,49.99,29.99,0.40,647.78
EF0450,49.99,29.99,0.40,4480.51
CL7375,32.99,19.79,0.40,391.84
EF0446,49.99,29.99,0.40,2267.24
EF0529,69.99,41.99,0.40,5215.16
EE9940,65.99,39.59,0.40,2351.65
EE4954,119.99,71.99,0.40,4535.37
G27996,,,,
CL4156,26.99,13.49,0.50,2161.10
EE4893,79.99,47.99,0.40,4059.95
EE9937,55.99,33.59,0.40,5683.43
G27649,79.99,47.99,0.40,3023.37
EE9797,55.99,33.59,0.40,2358.02
CI9914,49.99,20.00,0.60,3528.00
EE8252,42.99,21.49,0.50,232.09
CK9664,59.99,29.99,0.50,917.69
